disease_name,spread_percentage,pesticide_name,common_name,REI,PHI,what_caused_it
Tomato Bacterial Spot,1.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,2.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,3.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,4.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,5.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,6.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,7.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
